Feature Type,Alpha,Gamma,Polynomial Dimension,Protos per dimension,Epsilon,Simulations,MIN,MAX,Delta,Mean,STDEV
NRB,0.175,0.8,2,18,0.75,1000,168,289,121,255.419,20.214253759539456
NRB,0.05,0.95,2,12,0.5,1000,124,482,358,164.926,28.294895743316058
NRB,0.1,0.8,2,18,0.25,990,147,449,302,202.0787878787879,73.10763187774548
NRB,0.075,1.0,2,18,0.75,997,154,290,136,235.9679037111334,33.90914764624934
NRB,0.05,0.9,2,18,0.75,1000,152,263,111,211.688,40.40506435120758
NRB,0.15,0.8,2,21,0.75,979,162,310,148,184.20429009193055,20.62924101483804
NRB,0.01,0.8,2,21,0.75,982,151,1106,955,211.14765784114053,81.25005505910804
NRB,0.01,0.95,2,12,0.25,1000,147,267,120,176.446,38.689377766409635
NRB,0.2,0.9,2,52,0.75,1000,160,368,208,248.77,35.10340936930983
NRB,0.15,0.99,2,8,0.75,1000,224,424,200,254.595,49.08568405736421
NRB,0.01,0.95,2,8,0.75,1000,197,215,18,208.761,3.6048403395814734
NRB,0.025,0.8,2,12,0.75,1000,138,244,106,174.983,37.05668507717479
NRB,0.175,1.0,2,36,0.75,989,162,323,161,193.54701718907987,31.697154109548084
NRB,0.175,0.9,2,27,0.75,999,123,241,118,160.65765765765767,24.362676349628593
NRB,0.5,0.9,2,52,0.25,989,162,410,248,258.5348837209302,45.86659989957618
NRB,0.05,0.99,2,27,0.75,999,155,833,678,191.36936936936937,48.29245308277689
NRB,0.025,0.8,2,8,0.5,1000,203,212,9,206.413,1.4630692299312331
NRB,0.1,0.95,2,8,0.5,1000,161,353,192,215.615,30.086042360951115
NRB,0.075,1.0,2,18,0.25,1000,161,298,137,251.457,37.27072924237274
NRB,0.01,0.9,2,18,0.75,1000,195,261,66,224.365,22.976023865601128
NRB,0.05,0.9,2,18,0.75,1000,100,203,103,149.981,27.954930103956926
NRB,0.125,0.95,2,12,0.25,1000,134,220,86,172.13,19.984305653999403
NRB,0.4,0.99,2,18,0.75,1000,184,370,186,290.574,41.00243558282512
NRB,0.15,0.8,2,18,0.75,1000,212,240,28,226.023,6.276453207414588
NRB,0.1,1.0,2,8,0.25,1000,162,187,25,170.182,6.599729724195714
NRB,0.075,0.95,2,12,0.75,1000,132,208,76,160.476,17.630378732581278
NRB,0.125,0.9,2,21,0.75,976,158,528,370,218.98258196721312,43.62357283118128
NRB,0.025,1.0,2,8,0.75,1000,166,347,181,239.112,43.70514381163384
NRB,0.15,0.95,2,18,0.5,1000,160,312,152,203.514,32.935916240156104
NRB,0.175,0.95,2,52,0.75,1000,140,312,172,222.137,38.246817515318185
NRB,0.2,1.0,2,52,0.5,1000,163,434,271,278.733,47.443467343709116
NRB,0.2,0.8,2,21,0.75,986,160,484,324,199.53245436105476,32.94433794292905
NRB,0.01,1.0,2,21,0.75,998,165,685,520,283.7254509018036,51.87088334667714
NRB,0.15,1.0,2,27,0.75,998,170,433,263,260.311623246493,27.320419123314366
NRB,0.05,0.8,2,12,0.25,1000,130,266,136,179.98,27.82933833335015
NRB,0.025,0.8,2,12,0.75,1000,193,205,12,198.571,2.672096386566005
NRB,0.025,1.0,2,8,0.5,1000,134,183,49,156.7,14.652395459196857
NRB,0.125,0.95,2,18,0.75,1000,142,244,102,187.803,30.063666027532555
NRB,0.125,1.0,2,18,0.25,1000,160,291,131,177.63,20.968996132356903
NRB,0.2,0.9,2,12,0.5,1000,158,297,139,179.743,22.517770782228887
NRB,0.5,1.0,2,18,0.25,1000,202,417,215,270.813,43.04445209148162
NRB,0.175,0.9,2,36,0.5,1000,222,373,151,276.232,42.930865763867786
NRB,0.075,0.95,2,8,0.25,998,158,610,452,212.1372745490982,64.22959220586387
NRB,0.05,1.0,2,27,0.75,993,186,1721,1535,274.86706948640483,68.28477825033767
NRB,0.15,0.99,2,27,0.5,997,165,311,146,214.85656970912737,39.57419559886967
NRB,0.125,0.9,2,8,0.5,1000,237,396,159,273.543,41.48931807724146
NRB,0.175,0.99,2,18,0.75,1000,169,301,132,255.281,26.50159190262678
NRB,0.5,0.9,2,36,0.25,1000,143,332,189,229.088,36.24433621833773
NRB,0.125,0.8,2,36,0.5,1000,159,316,157,246.133,34.51963087745748
NRB,0.125,0.99,2,12,0.25,1000,246,308,62,284.288,14.046507051945703
NRB,0.15,0.8,2,52,0.75,1000,154,435,281,256.907,43.51118907332428
NRB,0.15,0.8,2,36,0.75,1000,166,292,126,211.769,27.266409666402655
NRB,0.125,0.95,2,18,0.25,999,173,581,408,248.92492492492494,44.353984276632836
NRB,0.1,0.99,2,12,0.25,1000,154,243,89,197.394,35.333457476126185
NRB,0.125,0.95,2,18,0.5,1000,131,225,94,185.477,17.22975145889619
NRB,0.075,0.9,2,21,0.5,987,157,538,381,189.60385005065856,37.716247425316254
NRB,0.15,0.95,2,21,0.75,979,124,449,325,169.7579162410623,28.095761350752856
NRB,0.1,0.99,2,36,0.75,1000,153,321,168,227.534,32.87490841969911
NRB,0.075,0.99,2,36,0.5,991,201,550,349,284.1241170534813,93.88948873302006
NRB,0.4,0.9,2,21,0.5,1000,161,322,161,202.052,41.484819950028545
NRB,0.5,0.95,2,36,0.75,1000,127,288,161,206.315,28.73512628269593
NRB,0.5,0.8,2,52,0.75,1000,126,284,158,201.387,25.253890591154267
NRB,0.125,0.95,2,21,0.75,978,123,413,290,181.08282208588957,33.7180235025144
NRB,0.175,0.95,2,27,0.75,997,127,353,226,172.61685055165498,27.017056134959084
NRB,0.2,0.99,2,21,0.75,980,181,2996,2815,257.57244897959185,125.48650109563242
